City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,dunedin,-45.8742,170.5036,18.22,74,100,0.89,NZ,1738566215
222,port blair,11.6667,92.75,30.02,66,40,5.66,IN,1738566378
223,kailua-kona,19.6406,-155.9956,23.64,80,6,0.45,US,1738566379
224,san luis de la loma,17.2706,-100.8939,23.63,74,1,1.85,MX,1738566380
225,kalix,65.853,23.1565,-19.95,96,0,3.21,SE,1738566382
226,ghat,24.9647,10.1728,11.16,39,49,2.7,LY,1738566384
227,ancud,-41.8697,-73.8203,10.7,80,51,1.54,CL,1738566385
228,kungur,57.4368,56.9593,-1.69,94,100,5.92,RU,1738566386
229,huarmey,-10.0681,-78.1522,21.81,84,100,2.32,PE,1738566389
230,gadzhiyevo,69.2551,33.3362,-15.75,98,67,3.12,RU,1738566390
231,mende,44.6667,3.5,-5.14,88,21,2.23,FR,1738566392
232,anadyr,64.75,177.4833,1.28,86,40,12.0,RU,1738566393
233,chamical,-30.36,-66.314,26.1,47,4,4.75,AR,1738566394
234,green river,41.5286,-109.4662,4.98,55,100,6.78,US,1738566395
235,nuuk,64.1835,-51.7216,-9.66,73,100,2.06,GL,1738566111
236,malpils,57.0111,24.9631,-1.73,96,93,3.01,LV,1738566397
237,kiunga,-6.1219,141.2906,26.44,92,100,2.53,PG,1738566399
238,revda,56.801,59.9303,-0.33,90,100,3.15,RU,1738566400
239,mirny,62.5353,113.9611,-25.54,89,100,5.43,RU,1738566401
240,changqing,36.5575,116.7272,4.37,17,0,3.65,CN,1738566402
241,guymon,36.6828,-101.4816,13.0,28,0,7.2,US,1738566136
242,acarau,-2.8856,-40.12,24.76,89,100,4.32,BR,1738566405
243,batamshinskiy,50.5594,58.2747,-2.46,95,100,4.83,KZ,1738566406
244,hermanus,-34.4187,19.2345,23.78,61,0,1.22,ZA,1738566407
245,oban,56.4127,-5.4706,6.67,86,100,3.96,GB,1738566408
246,indre arna,60.4247,5.4764,4.12,94,100,2.64,NO,1738566409
247,prince albert,53.2001,-105.7677,-25.07,92,21,4.9,CA,1738566410
248,kon tum,14.35,108.0,32.69,28,2,3.51,VN,1738566412
249,holualoa,19.6228,-155.9522,21.57,80,10,0.45,US,1738566413
250,balykshi,47.0667,51.8667,0.0,86,40,4.0,KZ,1738566414
251,hot springs,34.5037,-93.0552,14.05,96,0,1.77,US,1738566192
252,at taj,24.2049,23.2857,16.91,17,68,2.29,LY,1738566416
253,utrik,11.2278,169.8474,26.54,74,5,10.17,MH,1738566417
254,manggar,-2.8833,108.2667,29.5,65,73,7.29,ID,1738566419
255,papao,-17.75,-149.55,27.82,73,100,3.83,PF,1738566420
256,ha'il,27.5219,41.6907,11.01,32,0,3.09,SA,1738566421
257,yankton,42.8711,-97.3973,-2.16,68,0,3.09,US,1738566195
258,humberto de campos,-2.5983,-43.4611,23.55,96,100,1.4,BR,1738566292
259,pasni,25.2631,63.471,20.27,47,0,3.45,PK,1738566424
260,kruisfontein,-34.0033,24.7314,22.5,50,0,1.75,ZA,1738566426
261,el dorado,38.7666,-120.5177,9.92,98,100,1.58,US,1738566427
262,sao lourenco do sul,-31.3653,-51.9783,23.13,92,16,3.17,BR,1738566428
263,mili,6.0815,171.735,27.5,82,10,10.93,MH,1738566429
264,aleksandrov gay,50.147,48.5704,0.71,85,100,4.54,RU,1738566430
265,abomsa,9.9833,39.9833,21.69,48,87,2.61,ET,1738566432
266,timbuktu,16.7735,-3.0074,12.69,25,53,5.32,ML,1738566433
267,douglas,41.3,-96.167,8.1,75,0,2.06,US,1738566434
268,island harbour,50.724,-1.2758,5.55,93,98,3.9,GB,1738566435
269,yashkul',46.1711,45.3435,5.85,79,91,1.31,RU,1738566436
270,visby,57.6409,18.296,0.12,69,75,4.63,SE,1738566437
271,grand baie,-20.0182,57.5802,30.81,78,22,2.24,MU,1738566439
272,solleftea,63.1667,17.2667,-8.08,99,100,1.7,SE,1738566440
273,spring creek,40.7266,-115.5859,8.0,49,100,2.68,US,1738566209
274,launceston,-41.45,147.1667,31.8,40,99,6.17,AU,1738566442
275,laojunmiao,39.8333,97.7333,-6.42,52,0,4.89,CN,1738566443
276,isafjordur,66.0755,-23.124,-0.67,98,100,6.9,IS,1738566445
277,el porvenir,13.7617,-87.3458,19.86,70,0,2.93,HN,1738566447
278,balangir,20.7167,83.4833,34.39,23,2,3.36,IN,1738566448
279,north shore,-36.8,174.75,23.0,68,60,2.24,NZ,1738566449
280,syzran',53.1585,48.4681,-0.18,97,100,2.91,RU,1738566450
281,san julian,21.0167,-102.1667,12.83,31,2,1.49,MX,1738566451
282,port-gentil,-0.7193,8.7815,27.11,75,100,3.1,GA,1738566453
283,fale old settlement,-9.3852,-171.2468,28.41,68,6,6.11,TK,1738566454
284,touros,-5.1989,-35.4608,25.59,75,84,4.56,BR,1738566455
285,yakeshi,49.2833,120.7333,-23.57,92,100,3.58,CN,1738566456
286,tolanaro,-25.0319,46.9987,27.43,60,100,3.16,MG,1738566457
287,chul'man,56.8479,124.9104,-30.94,95,100,3.05,RU,1738566458
288,taytay,14.5678,121.1394,30.59,68,100,1.96,PH,1738566460
289,namibe,-15.1961,12.1522,23.38,75,88,2.29,AO,1738566461
290,alice springs,-23.7,133.8833,38.75,14,20,7.72,AU,1738566462
291,talcahuano,-36.7167,-73.1167,13.82,88,0,2.57,CL,1738566463
292,ciudad lazaro cardenas,17.9583,-102.2,22.97,86,0,2.14,MX,1738566464
293,weno,7.4515,151.8468,28.97,74,100,4.12,FM,1738566465
294,kodiak,57.79,-152.4072,0.73,80,0,9.26,US,1738566466
295,ataq,14.5377,46.8319,16.98,21,80,4.09,YE,1738566468
296,vel'sk,61.0701,42.0983,-10.66,94,100,3.08,RU,1738566469
297,askoy,60.4092,5.226,4.16,87,75,6.69,NO,1738566470
298,kemi,65.8596,24.8228,-17.13,85,0,4.12,FI,1738566471
299,broome,42.2506,-75.833,-1.3,90,100,2.57,US,1738566472
300,amol,36.4696,52.3507,10.66,65,5,1.99,IR,1738566473
301,lazaro cardenas,17.9583,-102.2,22.97,86,0,2.14,MX,1738566475
302,howrah,22.5892,88.3103,28.0,42,20,4.12,IN,1738566280
303,dyatlovo,53.4631,25.4068,-0.88,88,100,5.47,BY,1738566478
304,puerto aysen,-45.4,-72.7,7.92,99,100,1.8,CL,1738566479
305,fortuna,40.5982,-124.1573,6.31,97,100,0.0,US,1738566480
306,solnechnyy,50.7214,136.6319,-15.98,93,100,1.82,RU,1738566482
307,luau,-10.7073,22.2247,18.7,98,100,1.05,AO,1738566483
308,kapuskasing,49.4169,-82.4331,-3.95,86,75,5.66,CA,1738566484
309,lompoc,34.6391,-120.4579,9.23,95,100,1.54,US,1738566485
310,minas de marcona,-15.2119,-75.1103,17.73,80,100,2.4,PE,1738566486
311,egilsstadir,65.2653,-14.3948,6.1,100,100,4.79,IS,1738566487
312,tidjikja,18.5564,-11.4271,11.53,21,0,5.62,MR,1738566489
313,praia da vitoria,38.7333,-27.0667,16.17,90,100,4.24,PT,1738566490
314,kenora,49.8167,-94.4337,-19.46,84,20,3.09,CA,1738566208
315,falaise,48.8922,-0.1953,0.14,89,0,2.44,FR,1738566493
316,port macquarie,-31.4333,152.9167,25.6,75,100,1.79,AU,1738566494
317,kogalym,62.2654,74.4791,-14.34,93,100,6.69,RU,1738566496
318,galliano,29.4422,-90.2992,12.0,94,100,0.0,US,1738566497
319,avellaneda,-29.1176,-59.6583,23.4,42,0,2.7,AR,1738566370
320,ca mau,9.1769,105.15,35.26,33,45,6.94,VN,1738566249
321,saint-philippe,-21.3585,55.7679,28.85,82,75,7.98,RE,1738566502
322,badger,64.8,-147.5333,-11.05,85,100,3.09,US,1738566503
323,camacupa,-12.0167,17.4833,18.49,93,100,2.04,AO,1738566258
324,bardai,11.65,7.2333,19.29,20,0,4.4,NG,1738566505
325,mozarlandia,-14.7447,-50.5706,21.58,99,100,2.42,BR,1738566506
326,medina,24.4686,39.6142,17.24,22,0,4.12,SA,1738566507
327,sitka,57.0531,-135.33,-3.06,28,0,0.0,US,1738566509
328,vila velha,-20.3297,-40.2925,24.97,88,20,2.57,BR,1738566510
329,ola,59.5833,151.2833,-23.62,80,0,0.99,RU,1738566511
330,am timan,11.0297,20.2827,25.97,17,92,4.25,TD,1738566512
331,chui,-33.6971,-53.4616,21.04,98,23,1.83,UY,1738566513
332,luganville,-15.5333,167.1667,27.09,85,100,3.5,VU,1738566514
333,nova sintra,14.8667,-24.7167,22.1,59,7,5.28,CV,1738566516
334,nalut,30.3333,10.85,8.46,52,0,0.45,LY,1738566517
335,beau vallon,-20.4189,57.6953,32.13,66,40,7.72,MU,1738566518
336,antsiranana,-12.2787,49.2917,26.62,82,99,5.03,MG,1738566442
337,ariquemes,-9.9133,-63.0408,21.97,99,99,1.21,BR,1738566520
338,midvagur,62.0511,-7.1939,9.46,93,100,8.75,FO,1738566521
339,tsiombe,-25.3,45.4833,28.57,55,100,5.04,MG,1738566523
340,howard springs,-12.497,131.047,29.95,89,100,5.43,AU,1738566524
341,mukalla,14.5425,49.1242,24.6,20,98,2.25,YE,1738566525
342,strezhevoy,60.7333,77.5889,-11.79,94,100,4.73,RU,1738566527
343,luderitz,-26.6481,15.1594,21.35,57,5,7.47,NA,1738566528
344,shaowu,27.3409,117.4831,8.77,84,100,1.2,CN,1738566530
345,sai buri,6.7013,101.6168,34.42,51,5,3.95,TH,1738566531
346,lenina,46.0667,39.7833,3.47,88,100,1.21,RU,1738566532
347,kirensk,57.7853,108.1119,-21.8,86,100,1.31,RU,1738566533
348,buhe,30.2876,112.2298,12.8,27,74,5.06,CN,1738566534
349,tianpeng,30.9866,103.9393,12.14,37,6,2.51,CN,1738566535
350,santiago de cao,-7.9589,-79.2392,19.07,94,100,2.06,PE,1738566536
351,chillicothe,39.3331,-82.9824,0.17,100,0,0.0,US,1738566246
352,antofagasta,-23.65,-70.4,19.6,83,3,1.19,CL,1738565819
353,loboc,9.6383,124.0348,28.47,74,99,3.98,PH,1738566540
354,ambalangoda,6.2355,80.0538,29.99,71,95,2.67,LK,1738566541
355,ugoofaaru,5.6667,73.0,27.5,74,29,3.18,MV,1738566542
356,maxixe,-23.8597,35.3472,29.92,59,71,3.87,MZ,1738566543
357,colac,-38.3333,143.5833,21.53,81,95,7.31,AU,1738566545
358,priyutnoye,46.1011,43.5072,3.61,90,100,2.27,RU,1738566546
359,aripuana,-9.1667,-60.6333,21.1,99,100,1.58,BR,1738566547
360,saudarkrokur,65.7461,-19.6394,-0.82,91,100,0.2,IS,1738566548
361,chimore,-16.9833,-65.1333,21.42,98,43,0.74,BO,1738566549
362,siguiri,11.6667,-9.5,16.79,21,48,1.61,GN,1738566550
363,keflavik,64.0049,-22.5624,4.24,93,75,4.63,IS,1738566551
364,san antonio de pale,-1.4014,5.6325,27.28,72,100,2.98,GQ,1738566553
365,nemuro,43.3236,145.575,-0.89,69,100,6.86,JP,1738566554
366,st. john's,47.5649,-52.7093,-8.35,68,75,10.8,CA,1738566529
367,ubari,26.5921,12.7805,10.64,41,0,2.95,LY,1738566556
368,manicore,-5.8092,-61.3003,21.8,97,100,1.12,BR,1738566392
369,el granada,37.5027,-122.4694,14.6,91,100,5.14,US,1738566558
370,fort mcmurray,56.7268,-111.381,-22.88,98,100,1.25,CA,1738566560
371,subaykhan,34.8544,40.6083,12.9,50,100,1.27,SY,1738566561
372,ambon,-3.6954,128.1814,31.08,70,40,2.06,ID,1738566562
373,ondjiva,-17.0667,15.7333,23.29,62,99,1.39,AO,1738566563
374,guarapari,-20.6667,-40.4975,22.62,90,99,4.38,BR,1738566564
375,mahina,-17.5065,-149.489,27.87,74,100,1.03,PF,1738566565
376,gwanda,-20.9333,29.0,28.36,38,3,5.41,ZW,1738566566
377,baranovichi,53.1327,26.0139,-1.27,87,99,5.48,BY,1738566568
378,bambanglipuro,-7.95,110.2833,30.12,64,100,3.48,ID,1738566451
379,mogadishu,2.0371,45.3438,27.27,59,19,10.76,SO,1738566570
380,jaru,-10.4389,-62.4664,21.27,99,100,1.7,BR,1738566571
381,agara,42.0376,43.8238,4.22,67,60,2.09,GE,1738566572
382,pathein,16.7833,94.7333,35.6,21,0,2.71,MM,1738566574
